Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf
49-94-0013,"49-94-0013 Milw 5""x.045""x7/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0029,"49-94-0029 Milw 6-1/2""x1/8""x5/8"" DKO Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0033,"49-94-0033 Milw 7""x1/16""x7/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0001,"49-94-0001 Milw 4""x.040""x5/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0039,"49-94-0039 Milw 7""x1/8""x5/8"" DKO Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0043,"49-94-0043 Milw 9""x3/32""x7/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0048,"49-94-0048 Milw 12""x7/64""x1"" Metal Cut Off Disc General Purpose",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0053,"49-94-0053 Milw 12""x1/8""x1"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0058,"49-94-0058 Milw 12""x1/8""x20mm Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0063,"49-94-0063 Milw 14""x7/64""x1"" Metal Cut Off Disc General Purpose",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0068,"49-94-0068 Milw 14""x1/8""x20mm Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0073,"49-94-0073 Milw 14""x1/8""x1"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0101,"49-94-0101 Milw 4-1/2""x.045""x7/8"" Perform+ Metal Cut Off Disc 10pc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0107,"49-94-0107 Milw 4-1/2""x.045""x7/8"" Performance+ Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0117,"49-94-0117 Milw 5""x.045""x7/8"" Performance+ Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0123,"49-94-0123 Milw 6""x.045""x7/8"" Performance+ Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0023,"49-94-0023 Milw 6""x.045""x7/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0121,"49-94-0121 Milw 6""x.045""x7/8"" Performance+ Metal Cut Off Disc 10pc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0127,"49-94-0127 Milw 6""x.045""x7/8"" Performance+Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0137,"49-94-0137 Milw 7""x3/32""x7/8"" Performance+ Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0160,"49-94-0160 Milw 14""x7/64""x1"" Performance+ Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0223,"49-94-0223 Milw 6""x.045""x7/8"" Ceramic+ Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0445,"49-94-0445 Milw 10""x3/32""x5/8"" Performance+ Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0803,"49-94-0803 Milw 4-1/2""x1/8""x7/8"" Dual Metal Cut and Grind Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0903,"49-94-0903 Milw 4-1/2""x1/8""x7/8""Perform+Dual Metal Cut and Grind Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0923,"49-94-0923 Milw 6""x1/8""x7/8"" Perform+Dual Metal Cut and Grind Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-1900,"49-94-1900 Milw 4""x1/8""x5/8"" Masonry Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-1905,"49-94-1905 Milw 4-1/2""x1/8""x7/8"" Masonry Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-1915,"49-94-1915 Milw 6-1/2""x1/8""x5/8"" DKO Masonry Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-1920,"49-94-1920 Milw 7""x1/8""x5/8"" DKO Masonry Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-1925,"49-94-1925 Milw 10""x1/8""x5/8"" Masonry Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-1935,"49-94-1935 Milw 12""x1/8""x1"" Masonry Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-1940,"49-94-1940 Milw 14""x1/8""x1"" Masonry Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0501,"49-94-0501 Milw 4""x1/4""x5/8"" Metal Grinding Wheel",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0503,"49-94-0503 Milw 4-1/2""x1/4""x7/8"" Metal Grinding Wheel",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0523,"49-94-0523 Milw 6""x1/4""x7/8"" Metal Grinding Wheel",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-1955,"49-94-1955 Milw 4-1/2""x1/4""x7/8"" Masonry Grinding Wheel",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-1965,"49-94-1965 Milw 7""x1/4""x7/8"" Masonry Grinding Wheel",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0513,"49-94-0513 Milw 5""x1/4""x7/8"" Metal Grinding Wheel",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-0533,"49-94-0533 Milw 7""x1/4""x7/8"" Metal Grinding Wheel",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
DFBLBLOMFN01G,DFBLBLOMFN01G Diablo 220 Grit - Flat Edge Sanding Sponge,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435)
6008,6008 Whiteside Router Bit,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Whiteside Machine & Repair Co (WHIMA)
6009,6009 Whiteside Router Bit,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Whiteside Machine & Repair Co (WHIMA)
3000A,3000A Whiteside Router Bit,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Whiteside Machine & Repair Co (WHIMA)
21839NN,"21839NN File Bstd Mill 10""",-- Unbranded --,-- No Unilog Brand --,Nicholson,-
VN56920,"VN56920 10 1/2"" Saw Blade",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Marshalltown Trowel (5155)
220USB25U,220USB25U Vessel Screwdriver w/25pc Bit Set,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Vessel Tools USA Inc (VESTO)
220USBP5U,220USBP5U Vessel Screwdriver Plus w/5pc Bit Set,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Vessel Tools USA Inc (VESTO)
DCM200B,DCM200B Dewalt 1/2in x 18in - Band File,-- Unbranded --,-- No Unilog Brand --,DEWALT,Black & Decker/dewlt (2585)
D0860X,"D0860X Diablo 8-1/4"" 60 Tooth - Fine Finish Saw Blade",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435)
48-40-0740,48-40-0740 Milw 7-1/4in. 24T - Framing Circ Saw Blade,-- Unbranded --,-- No Unilog Brand --,Milwaukee,Milwaukee Accessory (4031)
A-96095,"A-96095 Makita 5-7/8"" 32T Saw Blade",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Makita Usa Inc (5142)
D0760UX,"D0760UX Diablo 7-1/4"" 60T Circ - Saw Blade",-- Unbranded --,-- No Unilog Brand --,Diablo,Freud Inc (2435)
D0708LF,"D0708LF Saw Blade 7-1/4""x8 - Laminate & Wood Flooring",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435)
D1012LF,"D1012LF Saw Blade 10""x12Teeth - Laminate & Wood Flooring",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435)
D1216LF,"D1216LF Saw Blade 12""x16Teeth - Laminate & Wood Flooring",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435)
DJT155HHM,"DJT155HHM Diablo 3-3/5"" 10 TPI - Jig Saw Blade",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435)
D0604TSH,"D0604TSH Diablo 6-1/2"" 4-Tooth - Cement Track Saw Blade",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435)
D0620TSR,"D0620TSR Diablo 6-1/2""20 Tooth - Framing Saw Blade",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435)
D0648TSF,"D0648TSF Diablo 6-1/2""48 Tooth - Plywood Track Saw Blade",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435)
D0652TSL,"D0652TSL Diablo 6-1/2""52 Tooth - Laminate Track Saw Blade",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435)
