row_index,MPN,Part_Desc,Part_Manuf,E1_Brand,Unilog_Brand,DIB_Brand,current_classpath,exact_product_identified,evidence_found,evidence_type,evidence_url,evidence_summary,taxonomy_supported,proposed_classpath,recovery_decision,confidence,rejection_reason
628,C7CEBBS2RS3,C7CEBBS2RS3 Cafe Auto Espresso Machine SS,Appliance Dealers Cooperative (APPDE),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies coffee maker or espresso machine,YES,Appliances>Major Appliances>Cooking Appliances,RECOVER,HIGH,NONE
629,C7CEBBS4RW3,C7CEBBS4RW3 Café Auto Espresso Machine Wh,Appliance Dealers Cooperative (APPDE),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies coffee maker or espresso machine,YES,Appliances>Major Appliances>Cooking Appliances,RECOVER,HIGH,NONE
630,C7CESAS2RS3,C7CESAS2RS3 Café Espresso SS,Appliance Dealers Cooperative (APPDE),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies coffee maker or espresso machine,YES,Appliances>Major Appliances>Cooking Appliances,RECOVER,HIGH,NONE
631,C7CESAS3RD3,C7CESAS3RD3 Café Espresso Machine MB,Appliance Dealers Cooperative (APPDE),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies coffee maker or espresso machine,YES,Appliances>Major Appliances>Cooking Appliances,RECOVER,HIGH,NONE
632,C7CESAS4RW3,C7CESAS4RW3 Cafe Espresso Wh,Appliance Dealers Cooperative (APPDE),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies coffee maker or espresso machine,YES,Appliances>Major Appliances>Cooking Appliances,RECOVER,HIGH,NONE
652,WMMS3330RZ,WMMS3330RZ OTR Mocrowave SS - Display Only,Appliance Dealers Cooperative (APPDE),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
655,C9TMA2S3PD3,C9TMA2S3PD3 Café Toaster MB,Appliance Dealers Cooperative (APPDE),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies toaster or toaster oven,YES,Appliances>Major Appliances>Cooking Appliances,RECOVER,HIGH,NONE
656,C9TMA2S4PW3,C9TMA2S4PW3 Café Toaster MW,Appliance Dealers Cooperative (APPDE),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies toaster or toaster oven,YES,Appliances>Major Appliances>Cooking Appliances,RECOVER,HIGH,NONE
657,C90AAAS2RS3,C90AAAS2RS3 Cafe Toast Oven SS,Appliance Dealers Cooperative (APPDE),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies toaster or toaster oven,YES,Appliances>Major Appliances>Cooking Appliances,RECOVER,HIGH,NONE
658,C9TMA2SP2PS3,C9TMA2S2PS3 Cafe Toaster SS,Appliance Dealers Cooperative (APPDE),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies toaster or toaster oven,YES,Appliances>Major Appliances>Cooking Appliances,RECOVER,HIGH,NONE
673,K527APBXR,"K527APBXR Senco .131x3"" SM BB - 500CT",Senco Products Inc (4650),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
677,51334,"51334 44"" Wh Gilmour Fan",Hunter Fan Co (4381),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies ceiling fan model,YES,Lighting & Ceiling Fans>Ceiling Fans>Ceiling Fans,RECOVER,HIGH,NONE
678,59210,"59210 52"" BZ Sent Hunter Fan",Hunter Fan Co (4381),-- Unbranded --,-- No Unilog Brand --,Hunter,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies ceiling fan model,YES,Lighting & Ceiling Fans>Ceiling Fans>Ceiling Fans,RECOVER,HIGH,NONE
679,52485,"52485 52"" MB Anisten Fan",Hunter Fan Co (4381),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies ceiling fan model,YES,Lighting & Ceiling Fans>Ceiling Fans>Ceiling Fans,RECOVER,HIGH,NONE
680,52486,"52486 44"" MB Anisten Fan",Hunter Fan Co (4381),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies ceiling fan model,YES,Lighting & Ceiling Fans>Ceiling Fans>Ceiling Fans,RECOVER,HIGH,NONE
681,52487,"52487 52"" WH Anisten Fan",Hunter Fan Co (4381),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies ceiling fan model,YES,Lighting & Ceiling Fans>Ceiling Fans>Ceiling Fans,RECOVER,HIGH,NONE
682,52488,"52488 44"" WH Anisten Fan",Hunter Fan Co (4381),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies ceiling fan model,YES,Lighting & Ceiling Fans>Ceiling Fans>Ceiling Fans,RECOVER,HIGH,NONE
683,52655,"52655 52"" MB Xidane Hunter Fan",Hunter Fan Co (4381),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies ceiling fan model,YES,Lighting & Ceiling Fans>Ceiling Fans>Ceiling Fans,RECOVER,HIGH,NONE
684,59261,"59261 52"" PB Cassius Fan",Hunter Fan Co (4381),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies ceiling fan model,YES,Lighting & Ceiling Fans>Ceiling Fans>Ceiling Fans,RECOVER,HIGH,NONE
685,51731,"51731 52"" MB Jetty Hunter Fan",Hunter Fan Co (4381),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies ceiling fan model,YES,Lighting & Ceiling Fans>Ceiling Fans>Ceiling Fans,RECOVER,HIGH,NONE
687,HS-DA,HS-DA Motion Driveway Alert,Sabre (9195),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
689,48-22-8396R,48-22-8396R Milw 24oz Bottle - Insulated,Milwaukee Accessory (4031),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
690,48-22-8397R,48-22-8397R Milw 36oz Bottle - Insulated,Milwaukee Accessory (4031),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
691,DCGG581B,DCGG581B Dewalt 20V Grease Gun 2-Speed,Black & Decker/dewlt (2585),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies cordless grease gun,YES,Tools & Equipment>Power Tools>Cordless Power Tools,RECOVER,HIGH,NONE
692,DCGG581GD1,DCGG581GD1 Dewalt 20V Grease Gun 2-Speed Kit,Black & Decker/dewlt (2585),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies cordless grease gun,YES,Tools & Equipment>Power Tools>Cordless Power Tools,RECOVER,HIGH,NONE
693,DWST41092,"DWST41092 Dewalt Tool Chest 41"" Bottom",Black & Decker/dewlt (2585),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies tool chest storage,YES,Tools & Equipment>Hand Tools>Hand Tools,RECOVER,HIGH,NONE
694,156436WHT,156436 Wh 4x4x120 Post Wrap,Palmer Donavin Mfg Company (PALDO),DSI Westbury,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies railing post wrap accessory,YES,Building Materials>Decking & Railing>Post Sleeves & Accessories,RECOVER,HIGH,NONE
695,173950TBK,"4""x8'-6"" DSI SQ Black Alum Post Wrap",Palmer Donavin Mfg Company (PALDO),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies railing post wrap accessory,YES,Building Materials>Decking & Railing>Post Sleeves & Accessories,RECOVER,HIGH,NONE
696,173951TBK,"6""x8'-6"" DSI SQ Black Alum Post Wrap",Palmer Donavin Mfg Company (PALDO),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies railing post wrap accessory,YES,Building Materials>Decking & Railing>Post Sleeves & Accessories,RECOVER,HIGH,NONE
697,173952TBK,"6""x10' DSI SQ Black Alum Post Wrap",Palmer Donavin Mfg Company (PALDO),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies railing post wrap accessory,YES,Building Materials>Decking & Railing>Post Sleeves & Accessories,RECOVER,HIGH,NONE
698,1624157,TW52 WH INSIDE CAS VIN WRAPPED,-,ANDERSEN,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Cryptic numeric stock code lacking product noun phrase or web evidence
699,40025,40025 TS-54 Wal-Board T-Square 009-008,Marshalltown Trowel (5155),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Cryptic numeric stock code lacking product noun phrase or web evidence
700,48-22-3301,48-22-3301 Milw Mechanical Pencil w/ Lead Pack,Milwaukee Accessory (4031),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
701,48-22-3302,48-22-3302 Milw Mechanical Pencil Replacement Lead,Milwaukee Accessory (4031),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
702,48-22-3303,48-22-3303 Milw Mechanical Pencil Replacement Lead-Color,Milwaukee Accessory (4031),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
713,FE-EFX-6L,FEEFX6L Lith Fire Extinguisher,Ohio Firewatch Protection Inc (HOLFS),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
714,FE-EFX-9L,FEEFX9L Lith Fire Extinguisher,Ohio Firewatch Protection Inc (HOLFS),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
715,1046793,1046793 Smoke & CO Alarm,First Alert - B R K Brands (2754),-- Unbranded --,-- No Unilog Brand --,First Alert,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Cryptic numeric stock code lacking product noun phrase or web evidence
716,1046870,1046870 Smoke & CO Alarm,First Alert - B R K Brands (2754),-- Unbranded --,-- No Unilog Brand --,BRK,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Cryptic numeric stock code lacking product noun phrase or web evidence
732,DPG15,DPG15 Dewalt AM/FM Hearing Protector,Radians (7363),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
741,48-11-2330,48-11-2330 Milw Heated Gear Power Source,Milwaukee Accessory (4031),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
743,5328,5328 Lg. Leather Phone Holster - Clip-on,-,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Cryptic numeric stock code lacking product noun phrase or web evidence
744,3200-20,3200-20 Milw Voltage Detector,Milwaukee Accessory (4031),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
745,3202-20,3202-20 Milw Voltage Detector w/ LED,Milwaukee Accessory (4031),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
747,BC-12300,"BC-12300 BigCal 12""/300mm",Woodpeckers Inc (WOODP),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
748,BC-24600,"BC-24600 BigCal 24""/600mm",Woodpeckers Inc (WOODP),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
749,DW08302CG,DW08302CG Dewalt Laser - Green 3 Spot,Black & Decker/dewlt (2585),-- Unbranded --,-- No Unilog Brand --,DEWALT,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
750,GCL165-42GL,GCL165--42GL Cross Line Laser,Robt Bosch Tool Corp (6564),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
752,DW088CG,DW088CG Dewalt Laser - Green Cross Line,Black & Decker/dewlt (2585),-- Unbranded --,-- No Unilog Brand --,DEWALT,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
756,DW0822CG,DW0822CG Dewalt Cross Line - Plumb Spots Laser-Green,Black & Decker/dewlt (2585),-- Unbranded --,-- No Unilog Brand --,DEWALT,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
765,MLSQ0120,"MLSQ0120 Milw 12"" RafterSquare",Milwaukee Accessory (4031),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
766,MLSQ1120,MLSQ1120 Milw 300mm Rafter - Square (Metric),Milwaukee Accessory (4031),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
768,37300952,"095842 Fisch Plug Cutter 3/8""",-,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Cryptic numeric stock code lacking product noun phrase or web evidence
773,DCF6202,DCF6202 Dewalt Collated Attach,Black & Decker/dewlt (2585),-- Unbranded --,-- No Unilog Brand --,DEWALT,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
778,133164,133164 950/9 Hex Plus Spks - Multicolor,Wera Tools NA Inc (WERTO),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Cryptic numeric stock code lacking product noun phrase or web evidence
779,DWHT10993,DWHT10993 Folding Knife,Black & Decker/dewlt (2585),-- Unbranded --,-- No Unilog Brand --,DEWALT,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
780,DWHT10994,DWHT10994 Folding Knife,Black & Decker/dewlt (2585),-- Unbranded --,-- No Unilog Brand --,DEWALT,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
781,QB22RU,QB22RU Vessel Carrying Bit Holder (Red),Vessel Tools USA Inc (VESTO),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
782,QB22KU,QB22KU Vessel Carrying Bit Holder (Black),Vessel Tools USA Inc (VESTO),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
783,AVM6EV,AVM6 EV Mini Snip Red,Malco Prod (2370),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
784,AVM6EV,AVM7 EV Mini Snip Green,Malco Prod (2370),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
788,42-04-9107,"42-04-9107 Milw 3/8"" Drive Universal Joint",Milwaukee Accessory (4031),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
790,DWMT45422,"DWMT45422 Dewalt 1/4"" Drive - 50pc Mechanics Set",Black & Decker/dewlt (2585),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
791,DWMT45424,"DWMT45424 Dewalt 3/8"" Drive - 84pc Mechanics Set",Black & Decker/dewlt (2585),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
890,DCW620B,DCW620B Dewalt 20V Plunge - Router,Black & Decker/dewlt (2585),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
896,24-35M-320,"24-35M-320 Iridium Grip - 3.2"" x 5.2"" Grip",Mirka Abrasives Inc (MIRUS),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
909,48-41-0740,48-41-0740 Milw7-1/4 24TFrming - Blade,Milwaukee Accessory (4031),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
917,DWA4769,"DWA4769 Dewalt Rim Glass Tile - Blade 10""",Black & Decker/dewlt (2585),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
997,10014.201,"10014.201 Oliver 15"" Planer 3HP 1Ph 220V",Oliver Machinery Company (OLIMA),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
998,4430.201,"4430.201 Oliver 20"" Planer 5HP 1Ph 230V",Oliver Machinery Company (OLIMA),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,NO,NO,NO_SOURCE,,,NO,UNRESOLVED,KEEP_UNRESOLVED,NONE,Commodity code without explicit product category noun phrase
