Mfg_Part_Num,Part_Manuf,Part_Desc,Actionability_Category,Primary_Reason
KDPS624SJP,Appliance Dealers Cooperative (APPDE),KDPS624SJP Dishwasher Juniper - Display Only,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
KDTS624SBE,Appliance Dealers Cooperative (APPDE),KDTS624SBE Dishwasher BO Display Only,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
D519127,V & V Appliance Parts Inc (VVAPP),D519127 Heater Kit,Requires_Manufacturer_Web_Evidence,Specialty accessory requiring live manufacturer specification page retrieval
DF7004WE,Appliance Dealers Cooperative (APPDE),DF7004WE Speed Queen Elect Dryer Wh,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
DR7004BE,Appliance Dealers Cooperative (APPDE),DR7004BE SQ Elect Dryer Bk,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
DV2000WE,Appliance Dealers Cooperative (APPDE),DV2000WE SQ Elect Dryer Wh,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
DC5004WE,Appliance Dealers Cooperative (APPDE),DC5004WE SQ Elect Dryer Wh,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
DC5004BE,Appliance Dealers Cooperative (APPDE),DC5004BE SQ Elect Dryer Bk,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
WKE100HWA,Appliance Dealers Cooperative (APPDE),WKE100HWA LG Laundry Center Wh - Display,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
FF7011WN,Appliance Dealers Cooperative (APPDE),FF7011WN Speed Queen Washer Wh,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
PTD70GBPTDG,Appliance Dealers Cooperative (APPDE),PTD70GBPTDG GE Gas Dryer DG,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
PTD70GBSTWS,Appliance Dealers Cooperative (APPDE),PTD70GBSTWS GE Gas Dryer Wh,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
DR5004WG,Appliance Dealers Cooperative (APPDE),DR5004WG SQ Gas Dryer Wh,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
DR7004BG,Appliance Dealers Cooperative (APPDE),DR7004BG SQ Gas Dryer Bk,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
DR7004WG,Appliance Dealers Cooperative (APPDE),DR7004WG SQ Gas Dryer Wh,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
DV2000WG,Appliance Dealers Cooperative (APPDE),DV2000WG SQ Gas Dryer Wh,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
DC5004WG,Appliance Dealers Cooperative (APPDE),DC5004WG SQ Gas Dryer Wh,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
DC5004BG,Appliance Dealers Cooperative (APPDE),DC5004BG SQ Gas Dryer Bk,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
PTW705BSTWS,Appliance Dealers Cooperative (APPDE),PTW705BSTWS GE Washer Wh,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
MVWP586GW,Appliance Dealers Cooperative (APPDE),MVWP586GW Washer Wh - Display,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
TV2000WN,Appliance Dealers Cooperative (APPDE),TV2000WN SQ Elect Washer,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
TC5003BN,Appliance Dealers Cooperative (APPDE),TC5003BN SQ Washer Bk,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
TR7006WN,Appliance Dealers Cooperative (APPDE),TR7006WN Speed Queen Washer Wh,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
TR7006BN,Appliance Dealers Cooperative (APPDE),TR7006BN Speed Queen Washer Bk,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
TR5006WN,Appliance Dealers Cooperative (APPDE),TR5006WN Speed Queen Washer Wh,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
05134545001,Wera Tools NA Inc (WERTO),9516 Kneeling Pad& Bttl Opener,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
LNL65301,-,LNL65301 Digital Tire Pressure - Inflator Gauge,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
25-A,Rees Cast Stone Company (REECA),Charcoal Black 25-A Mortar - Type N,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
38-E,Rees Cast Stone Company (REECA),Dark Chocolate 38-E Mortar - Type N,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
59-J,Rees Cast Stone Company (REECA),Light Buff 59-J Mortar - Type N,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
44-A,Rees Cast Stone Company (REECA),Light Chocolate 44-A Mortar - Type N,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
73045028,-,Custom Finyline Wh Gate Sq Bal,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
73045031,-,Custom Finyline Wh Gate Rd - w/Black Alum Balusters,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
73012503,-,4x4 Wh Heritage Post Trim RDI,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
73018131,-,6x6 Wh Elite Post Trim 4pc RDI,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
73018091,-,4x4 Wh Elite Post Trim RDI,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
73018066,-,Clay 6x6 Elite Post Trim RDI - 4pc,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
61109087,-,Wh 4x4-39 Blank Post RDI,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
73272TBK,Palmer Donavin Mfg Company (PALDO),6x6-10' Black Alum Deco - Support Post,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
SPB-44BPL,-,"Patriot 4""x4""x37""/43"" Adjustable Self Leveling Support Post",Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
925219,Palmer Donavin Mfg Company (PALDO),"2""x50' Deck Joist Tape - Protecto Wrap",Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
27233,A J Manufacturing Inc (AJMAN),24x48 WH Attic Access Door,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
1517602,United Window & Door Manufacturing (UNIWI),6068R Gliding Patio Dr 4500 United Blk Ext/WH Int LowE Arg w/J,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
1517603,United Window & Door Manufacturing (UNIWI),6068L Gliding Patio Dr 4500 United Blk Ext/WH Int LowE Arg w/J,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
1517604,United Window & Door Manufacturing (UNIWI),6068L Gliding Patio Dr 4500 United White LowE Arg w/J,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
1517605,United Window & Door Manufacturing (UNIWI),6068R Gliding Patio Dr 4500 United White LowE Arg w/J,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
FS C01 2004S,Velux America Inc (VELAM),"FS C01 Velux Fxd Skylt Gry/Wh - w/Solar Shade RO 21""x26-7/8""",Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
FS C04 2004S,Velux America Inc (VELAM),"FS C04 Velux Fxd Skylt Gry/Wh - w/Solar Shade RO 21""x37-7/8""",Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
FS C06 2004S,Velux America Inc (VELAM),"FS C06 Velux Fxd Skylt Gry/Wh - w/Solar Shade RO 21""x45-7/8""",Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
1501831,ProVia (PRODO),31.5x14.75 Bsmt ecoLitePlus WH - Hopper DLA w/Screen,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
1501832,ProVia (PRODO),31.5x22.75 Bsmt ecoLitePlus WH - Hopper DLA w/Screen,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
1515974,-,3030 Slider 3900 United Black WH Int LowE-2 w/Half Scrn w/J,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
640383,Certainteed Gypsum (2765),"1/2"" 54""x10 Drywall Easi-Lite",Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
653258,Certainteed Gypsum (2765),"5/8"" 4x9 Drywall Firelite",Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
413S-DBA-36,Hager Hinge Co (4189),"413S 36"" Alum Threshold DBZ",Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
413S-DBA-72,Hager Hinge Co (4189),"413S 72"" Alum Threshold DBZ",Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
1511506,Huber Eng Wood LLC (3158),4'x65' Zip Rainscreen,Genuinely_Ambiguous,"Cryptic short description without brand, manufacturer, or product type context"
1513577,Westwood Lumber Sales (WESLU),1x8-12' Doug Fir STK Smooth 1S2E,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
1513578,Westwood Lumber Sales (WESLU),1x8-16' Doug Fir STK Smooth 1S2E,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
1513579,Westwood Lumber Sales (WESLU),1x12-12 'Doug Fir STK Smooth 1S2E,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
1513580,Westwood Lumber Sales (WESLU),1x12-16' Doug Fir STK Smooth 1S2E,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
1501767,-,"3/4"" 4x8T&G Huber Blue PlusOSB - Sub Floor",Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
PP-8BL,Premier Metals (PREME),8' Premier Rib XL Black,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
PP-10BL,Premier Metals (PREME),10' Premier Rib XL Black,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
PP-12BL,Premier Metals (PREME),12' Premier Rib XL Black,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
PP-8CH,Premier Metals (PREME),8' Premier Rib XL Charcoal,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
PP-10CH,Premier Metals (PREME),10' Premier Rib XL Charcoal,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
PP-12CH,Premier Metals (PREME),12' Premier Rib XL Charcoal,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
PP-8WH,Premier Metals (PREME),8' Premier Rib XL White,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
PP-10WH,Premier Metals (PREME),10' Premier Rib XL White,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
1504345,Palmer Donavin Mfg Company (PALDO),OC Duration TruDef Wburg Gray (BDL),Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
2733,Palmer Donavin Mfg Company (PALDO),3'x65' Henry Eaveguard - Ice Guard,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
7547,-,Ice Guard OC Weathr Lk Mat 2sq,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
8912220,Boise Cascade Building Materials (BOICA),"7-1/4""x12' Hardie Sdg Smooth - Primed HardiePlank",Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
8904015,Boise Cascade Building Materials (BOICA),4'x10' HardiePanel Smooth - Primed,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
25796,U S Lumber (3073),"6""x16' Smart Lap Sdg Cedar",Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
40503,U S Lumber (3073),"3/8"" 16""x16' Smart Pan Cedar - No-Groove Sq Edge B&B",Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
25825,U S Lumber (3073),"3/8"" 4x10 Smart Pan Cedar - No-Groove w/Shiplap Edges",Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
25822,U S Lumber (3073),"3/8"" 12""x16' Smart Vented Soff - Cedar Soffit",Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
543650101,Boise Cascade Building Materials (BOICA),Black Alum ADA Wall Mount Trex,Requires_Manufacturer_Web_Evidence,Specialty accessory requiring live manufacturer specification page retrieval
543650010,Boise Cascade Building Materials (BOICA),Black Alum ADA Int End Cap - Trex,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
543650048,Boise Cascade Building Materials (BOICA),8' Black Alum ADA Rail Trex,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
1506969,-,"1-1/2"" 4x8 Huber Zip R6.6 - Insulated R-Sheathing",Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
1514681,-,"1"" 4x8 Huber Zip R3.6 - Insulated R-Sheathing",Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
1514726,-,"2"" 4x8 Huber Zip R9.6 - Insulated R-Sheathing",Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
1728ABL,Palmer Donavin Mfg Company (PALDO),2x2 Black Fine Fissured 1728BL,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
SL1672,-,SL1672 Jumpstart & Pwr Supply,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
BHA1-UPC,Southwire/g Turner (6603),16-24 Adjust Hanger,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
G1941-UPC,Southwire/g Turner (6603),"G1941UPC 4"" Sq Cover Sw/Outlet",Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
G1950-UPC,Southwire/g Turner (6603),4x4 2G GFI Box Cover,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
A410RCAR,Thomas & Betts (7405),4x4 1G PVC Box Cover,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
G1951-UPC,Southwire/g Turner (6603),4x4 2G GFCI Duplex Box Cover,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
52C3-5/8-UPC,Southwire/g Turner (6603),4x4 1G Box Cover,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
52C14-5/8-UPC,Southwire/g Turner (6603),4x4 1G Box Cover,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
52C3-UPC,Southwire/g Turner (6603),4x4 1G Box Cover,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
54151-F-UPC,Southwire/g Turner (6603),4x4x1-1/2 Oct Box w/Bracket,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
54151-HUR-UPC,Southwire/g Turner (6603),4x4x1-1/2 Oct Box w/Hanger,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
54151-JR-UPC,Southwire/g Turner (6603),4x4x1-1/2 Oct Box w/Brakcet,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
54171-R-UPC,Southwire/g Turner (6603),4x4x2 Oct Box,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
52151-S-UPC,Southwire/g Turner (6603),4x4x1-1/2 Square Box,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
72171-3/4-1W-UPC,Southwire/g Turner (6603),4-1/2x4-1/2x2 2G Box,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
5522-5EV,Cooper Wiring Devices (3560),5522-5EV 2 Port Decor Plate,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
AYCL-153PH-LA,Fenton Bros Electric Inc (FENBR),AYCL-153PH-LA Lutron Dimmer LA,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
AYCL-153PH-WH,Fenton Bros Electric Inc (FENBR),AYCL-153PH-WH Lutron Dimmer Wh,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
D23LP-R02-1RW,Leviton Mfg Co (4927),D23LPR021RW Plug In Dimmer Wh,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
TNOCD002,Prime Wire & Cable (3562),TNOCD002 125V Outdooor Timer,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
TNDHD002,Prime Wire & Cable (3562),TNDHD002 125V 7Day Timer,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
TNIDP12,Prime Wire & Cable (3562),TNIDP12 125V Dig Indoor Timer,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
TNIW24,Prime Wire & Cable (3562),TNIW24 125V 24hr Mech Timer,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
65-1222,Satco Prod Inc (5573),65-1222 1' Led Lt Multi CCT,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
65-1224,Satco Prod Inc (5573),65-1224 4' Led Strip Light,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
45297BK,Kichler Lighting (KICLI),45297BK Kichler Wall Lt,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
45573BK,Kichler Lighting (KICLI),45573BK Kichler Wall Light,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
37418A,Kichler Lighting (KICLI),37418A Kichler Bath Light,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
37423A,Kichler Lighting (KICLI),37423A Kichler Bath Light,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
45496BKCLR,Kichler Lighting (KICLI),45496BKCLR Kichler Bath Light,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
45973BK,Kichler Lighting (KICLI),45973BK Kichler Wall Light,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
55155BK,Kichler Lighting (KICLI),55155BK Kichler Wall Lt,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
55157CPZ,Kichler Lighting (KICLI),55157CPZ Kichler Wall Light,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
55184BK,Kichler Lighting (KICLI),55184BK Kichler Wall Lt,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
55185BK,Kichler Lighting (KICLI),55185BK Kichler Wall Lt,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
55186CH,Kichler Lighting (KICLI),55186CH Kichler Wall Lt,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
55210NI,Kichler Lighting (KICLI),55210NI Kichler Wall Light,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
55211BK,Kichler Lighting (KICLI),55211BK Kichler Wall Light,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
55211NI,Kichler Lighting (KICLI),55211NI Kichler Wall Light,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
55212NI,Kichler Lighting (KICLI),55212NI Kichler Wall Light,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
