Mfg_Part_Num,Fine,Taxonomy_Confidence,Manufacturer_Confidence,Brand_Confidence,Supplier_vs_Manufacturer_Flag,Num_Attributes_Candidate,Num_Attributes_Fused,Num_Conflicts,Overall_Confidence,Overall_Confidence_Band,Needs_Review,Review_Reasons,Validation_Issues,Live_Evidence_Sources
9A-570-320,,UNRESOLVED,LOW,LOW,True,2,2,0,0.09,LOW,Yes,"'Mirka Abrasives Inc (MIRUS)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: dimension chain length has no schema mapping for '' | extraction: dimension chain length has no schema mapping for '' | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",,0
DBD090094101F,Cut-Off Discs,HIGH,HIGH,HIGH,False,2,5,0,0.558,MEDIUM,Yes,"evidence: Raw description only had a single '9""' token. Live evidence supplies Thickness and Arbor Size that could never have come from the description alone -- genuine enrichment, not just confirmation.",,2
DBDS12125A01F,Cut-Off Discs,HIGH,HIGH,HIGH,False,3,3,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
DBDS12125G01F,Cut-Off Discs,HIGH,HIGH,HIGH,False,4,8,0,0.531,MEDIUM,Yes,"extraction: dimension chain length has no schema mapping for 'Cut-Off Discs' | extraction: dimension chain length has no schema mapping for 'Cut-Off Discs' | evidence: This is the case that resolves the raw description's ambiguous 2-token '12""x20mm' chain (which our schema correctly refused to guess). Two independent secondary sources agree on the full 3-part spec.",,3
DBDS14125A01F,Cut-Off Discs,HIGH,HIGH,HIGH,False,4,4,0,0.485,LOW,Yes,extraction: dimension chain length has no schema mapping for 'Cut-Off Discs' | extraction: dimension chain length has no schema mapping for 'Cut-Off Discs' | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
DBDS14125G01F,Cut-Off Discs,HIGH,HIGH,HIGH,False,4,4,0,0.485,LOW,Yes,extraction: dimension chain length has no schema mapping for 'Cut-Off Discs' | extraction: dimension chain length has no schema mapping for 'Cut-Off Discs' | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0013,Cut-Off Discs,HIGH,HIGH,HIGH,False,4,4,0,0.532,MEDIUM,Yes,"evidence: No official milwaukeetool.com product page for this exact MPN surfaced in search results (neighboring MPNs on that domain did). Treated as UNVERIFIED-by-official-source, VERIFIED-by-secondary, not blank.",,1
49-94-0029,Cut-Off Discs,HIGH,HIGH,HIGH,False,5,5,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0033,Cut-Off Discs,HIGH,HIGH,HIGH,False,4,4,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0001,Cut-Off Discs,HIGH,HIGH,HIGH,False,4,4,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0039,Cut-Off Discs,HIGH,HIGH,HIGH,False,5,5,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0043,Cut-Off Discs,HIGH,HIGH,HIGH,False,4,4,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0048,Cut-Off Discs,HIGH,HIGH,HIGH,False,5,5,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0053,Cut-Off Discs,HIGH,HIGH,HIGH,False,4,4,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0058,Cut-Off Discs,HIGH,HIGH,HIGH,False,4,4,0,0.532,MEDIUM,No,,,1
49-94-0063,Cut-Off Discs,HIGH,HIGH,HIGH,False,5,5,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0068,Cut-Off Discs,HIGH,HIGH,HIGH,False,4,4,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0073,Cut-Off Discs,HIGH,HIGH,HIGH,False,4,4,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0101,Cut-Off Discs,HIGH,HIGH,HIGH,False,6,6,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0107,Cut-Off Discs,HIGH,HIGH,HIGH,False,5,5,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0117,Cut-Off Discs,HIGH,HIGH,HIGH,False,5,5,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0123,Cut-Off Discs,HIGH,HIGH,HIGH,False,5,5,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0023,Cut-Off Discs,HIGH,HIGH,HIGH,False,4,4,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0121,Cut-Off Discs,HIGH,HIGH,HIGH,False,6,6,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0127,Cut-Off Discs,HIGH,HIGH,HIGH,False,5,5,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0137,Cut-Off Discs,HIGH,HIGH,HIGH,False,5,5,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0160,Cut-Off Discs,HIGH,HIGH,HIGH,False,5,5,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0223,Cut-Off Discs,HIGH,HIGH,HIGH,False,5,5,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0445,Cut-Off Discs,HIGH,HIGH,HIGH,False,5,5,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0803,Cut & Grind Discs,HIGH,HIGH,HIGH,False,4,4,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0903,Cut & Grind Discs,HIGH,HIGH,HIGH,False,5,5,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0907,,UNRESOLVED,HIGH,HIGH,False,6,6,0,0.277,LOW,Yes,"taxonomy: no rule matched, classification UNRESOLVED | extraction: dimension chain length has no schema mapping for '' | extraction: dimension chain length has no schema mapping for '' | extraction: dimension chain length has no schema mapping for '' | extraction: dimension chain length has no schema mapping for '' | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (57),0
49-94-0923,Cut & Grind Discs,HIGH,HIGH,HIGH,False,5,5,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-1900,Cut-Off Discs,HIGH,HIGH,HIGH,False,4,4,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-1905,Cut-Off Discs,HIGH,HIGH,HIGH,False,4,4,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-1915,Cut-Off Discs,HIGH,HIGH,HIGH,False,5,5,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-1920,Cut-Off Discs,HIGH,HIGH,HIGH,False,5,5,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-1925,Cut-Off Discs,HIGH,HIGH,HIGH,False,4,4,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-1935,Cut-Off Discs,HIGH,HIGH,HIGH,False,4,4,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-1940,Cut-Off Discs,HIGH,HIGH,HIGH,False,4,4,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0501,Grinding Wheels,HIGH,HIGH,HIGH,False,4,6,0,0.6,MEDIUM,Yes,"evidence: Full official page fetched directly. Fully verified, highest-authority case in the sample. Minor internal inconsistency noted but not surfaced as a conflict: body text says 'aluminum oxide grain', product bullet list says 'Advanced Zirconia Grain' -- both from the SAME official page. Recorded as CONFLICT since even an official source can be internally inconsistent.",,1
49-94-0503,Grinding Wheels,HIGH,HIGH,HIGH,False,4,4,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0523,Grinding Wheels,HIGH,HIGH,HIGH,False,4,4,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-1955,Grinding Wheels,HIGH,HIGH,HIGH,False,4,5,0,0.546,MEDIUM,No,,,2
49-94-1965,Grinding Wheels,HIGH,HIGH,HIGH,False,4,4,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0513,Grinding Wheels,HIGH,HIGH,HIGH,False,4,4,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
49-94-0533,Grinding Wheels,HIGH,HIGH,HIGH,False,4,4,0,0.51,MEDIUM,Yes,no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only),,0
DFBLBLOMFN01G,Sanding Sponges,HIGH,HIGH,HIGH,False,1,3,0,0.55,MEDIUM,Yes,extraction: no dimension pattern matched,,2
1700-1PK-BB40,,UNRESOLVED,HIGH,HIGH,True,2,2,0,0.26,LOW,Yes,"Part_Manuf ('3 M Co (5293)') resolved as SUPPLIER/DISTRIBUTOR; legal manufacturer resolved from raw brand '3M' | taxonomy: no rule matched, classification UNRESOLVED | extraction: dimension chain length has no schema mapping for '' | extraction: dimension chain length has no schema mapping for '' | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",,0
ASH-40-40-04,,UNRESOLVED,LOW,LOW,True,3,3,0,0.09,LOW,Yes,"'Emseal Joint Systems Ltd (EMSJO)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: dimension chain length has no schema mapping for '' | extraction: dimension chain length has no schema mapping for '' | extraction: dimension chain length has no schema mapping for '' | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",,0
KDFM404KPS,,UNRESOLVED,LOW,LOW,True,0,0,0,0.03,LOW,Yes,"'Appliance Dealers Cooperative (APPDE)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (50),0
PDSH4816AF,,UNRESOLVED,LOW,LOW,True,0,0,0,0.03,LOW,Yes,"'Appliance Dealers Cooperative (APPDE)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (50),0
PDT715SYVFS,,UNRESOLVED,LOW,LOW,True,0,0,0,0.03,LOW,Yes,"'Appliance Dealers Cooperative (APPDE)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (51),0
LDPH5554D,,UNRESOLVED,LOW,LOW,True,0,0,0,0.03,LOW,Yes,"'Appliance Dealers Cooperative (APPDE)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (49),0
WDTS7024RZ,,UNRESOLVED,LOW,LOW,True,0,0,0,0.03,LOW,Yes,"'Appliance Dealers Cooperative (APPDE)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (50),0
PDD415PYYFS,,UNRESOLVED,LOW,LOW,True,0,0,0,0.03,LOW,Yes,"'Appliance Dealers Cooperative (APPDE)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (51),0
KDTS424SBE,,UNRESOLVED,LOW,LOW,True,0,0,0,0.03,LOW,Yes,"'Appliance Dealers Cooperative (APPDE)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (50),0
KDTS324SPS,,UNRESOLVED,LOW,LOW,True,0,0,0,0.03,LOW,Yes,"'Appliance Dealers Cooperative (APPDE)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (50),0
KDPS624SJP,,UNRESOLVED,LOW,LOW,True,0,0,0,0.03,LOW,Yes,"'Appliance Dealers Cooperative (APPDE)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (50),0
KDTS624SBE,,UNRESOLVED,LOW,LOW,True,0,0,0,0.03,LOW,Yes,"'Appliance Dealers Cooperative (APPDE)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (50),0
D519127,,UNRESOLVED,LOW,LOW,True,1,1,0,0.14,LOW,Yes,"'V & V Appliance Parts Inc (VVAPP)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (58),0
DF7004WE,,UNRESOLVED,LOW,LOW,True,0,0,0,0.03,LOW,Yes,"'Appliance Dealers Cooperative (APPDE)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (48),0
DR7004BE,,UNRESOLVED,LOW,LOW,True,0,0,0,0.03,LOW,Yes,"'Appliance Dealers Cooperative (APPDE)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (48),0
DV2000WE,,UNRESOLVED,LOW,LOW,True,0,0,0,0.03,LOW,Yes,"'Appliance Dealers Cooperative (APPDE)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (48),0
DC5004WE,,UNRESOLVED,LOW,LOW,True,0,0,0,0.03,LOW,Yes,"'Appliance Dealers Cooperative (APPDE)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (48),0
DC5004BE,,UNRESOLVED,LOW,LOW,True,0,0,0,0.03,LOW,Yes,"'Appliance Dealers Cooperative (APPDE)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (48),0
WKE100HWA,,UNRESOLVED,LOW,LOW,True,0,0,0,0.03,LOW,Yes,"'Appliance Dealers Cooperative (APPDE)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (49),0
FF7011WN,,UNRESOLVED,LOW,LOW,True,0,0,0,0.03,LOW,Yes,"'Appliance Dealers Cooperative (APPDE)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (48),0
PTD70GBPTDG,,UNRESOLVED,LOW,LOW,True,0,0,0,0.03,LOW,Yes,"'Appliance Dealers Cooperative (APPDE)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (51),0
PTD70GBSTWS,,UNRESOLVED,LOW,LOW,True,0,0,0,0.03,LOW,Yes,"'Appliance Dealers Cooperative (APPDE)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (51),0
DR5004WG,,UNRESOLVED,LOW,LOW,True,0,0,0,0.03,LOW,Yes,"'Appliance Dealers Cooperative (APPDE)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (48),0
DR7004BG,,UNRESOLVED,LOW,LOW,True,0,0,0,0.03,LOW,Yes,"'Appliance Dealers Cooperative (APPDE)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (48),0
DR7004WG,,UNRESOLVED,LOW,LOW,True,0,0,0,0.03,LOW,Yes,"'Appliance Dealers Cooperative (APPDE)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (48),0
DV2000WG,,UNRESOLVED,LOW,LOW,True,0,0,0,0.03,LOW,Yes,"'Appliance Dealers Cooperative (APPDE)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (48),0
DC5004WG,,UNRESOLVED,LOW,LOW,True,0,0,0,0.03,LOW,Yes,"'Appliance Dealers Cooperative (APPDE)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (48),0
DC5004BG,,UNRESOLVED,LOW,LOW,True,0,0,0,0.03,LOW,Yes,"'Appliance Dealers Cooperative (APPDE)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (48),0
PTW705BSTWS,,UNRESOLVED,LOW,LOW,True,0,0,0,0.03,LOW,Yes,"'Appliance Dealers Cooperative (APPDE)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",MOBILE_DESC out of 60-80 char range (51),0
