row_index,MPN,Part_Desc,Manufacturer,Brand,Classpath,classification_status,classification_method,evidence_tier,evidence_type,evidence_url,evidence_match_status,evidence_summary,taxonomy_validation,contradiction_check,confidence,validation_status,rejection_reason
25,49-94-0058,"49-94-0058 Milw 12""x1/8""x20mm Metal Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,CLASSIFIED,RULE_MATCH,Tier 2,PRODUCT_SPECIFIC_DISTRIBUTOR_URL,https://toolup.com/products/milwaukee-49-94-0058-12-in-type-1-metal-cut-off-wheel-1-8-in-thick-20-mm-arbor,PASS,Exact distributor/catalog URL verified product identity,PASS,PASS,HIGH,PASS,NONE
26,49-94-0063,"49-94-0063 Milw 14""x7/64""x1"" Metal Cut Off Disc General Purpose",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
27,49-94-0068,"49-94-0068 Milw 14""x1/8""x20mm Metal Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
28,49-94-0073,"49-94-0073 Milw 14""x1/8""x1"" Metal Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
29,49-94-0101,"49-94-0101 Milw 4-1/2""x.045""x7/8"" Perform+ Metal Cut Off Disc 10pc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
30,49-94-0107,"49-94-0107 Milw 4-1/2""x.045""x7/8"" Performance+ Metal Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
31,49-94-0117,"49-94-0117 Milw 5""x.045""x7/8"" Performance+ Metal Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
32,49-94-0123,"49-94-0123 Milw 6""x.045""x7/8"" Performance+ Metal Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
33,49-94-0023,"49-94-0023 Milw 6""x.045""x7/8"" Metal Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
34,49-94-0121,"49-94-0121 Milw 6""x.045""x7/8"" Performance+ Metal Cut Off Disc 10pc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
35,49-94-0127,"49-94-0127 Milw 6""x.045""x7/8"" Performance+Metal Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
36,49-94-0137,"49-94-0137 Milw 7""x3/32""x7/8"" Performance+ Metal Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
37,49-94-0160,"49-94-0160 Milw 14""x7/64""x1"" Performance+ Metal Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
38,49-94-0223,"49-94-0223 Milw 6""x.045""x7/8"" Ceramic+ Metal Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
39,49-94-0445,"49-94-0445 Milw 10""x3/32""x5/8"" Performance+ Metal Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
40,49-94-0803,"49-94-0803 Milw 4-1/2""x1/8""x7/8"" Dual Metal Cut and Grind Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut & Grind Discs,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
41,49-94-0903,"49-94-0903 Milw 4-1/2""x1/8""x7/8""Perform+Dual Metal Cut and Grind Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut & Grind Discs,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
42,49-94-0907,"49-94-0907 Milw 4-1/2""x1/8""x5/8-11""Perform+Dual Metal Cut n Grind Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
43,49-94-0923,"49-94-0923 Milw 6""x1/8""x7/8"" Perform+Dual Metal Cut and Grind Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut & Grind Discs,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
44,49-94-1900,"49-94-1900 Milw 4""x1/8""x5/8"" Masonry Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
45,49-94-1905,"49-94-1905 Milw 4-1/2""x1/8""x7/8"" Masonry Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
46,49-94-1915,"49-94-1915 Milw 6-1/2""x1/8""x5/8"" DKO Masonry Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
47,49-94-1920,"49-94-1920 Milw 7""x1/8""x5/8"" DKO Masonry Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
48,49-94-1925,"49-94-1925 Milw 10""x1/8""x5/8"" Masonry Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
49,49-94-1935,"49-94-1935 Milw 12""x1/8""x1"" Masonry Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
50,49-94-1940,"49-94-1940 Milw 14""x1/8""x1"" Masonry Cut Off Disc",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Cut-Off Discs,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
51,49-94-0501,"49-94-0501 Milw 4""x1/4""x5/8"" Metal Grinding Wheel",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Grinding Wheels,CLASSIFIED,RULE_MATCH,Tier 1,PRODUCT_SPECIFIC_OFFICIAL_URL,https://www.milwaukeetool.com/products/details/4-x-1-4-x-5-8-metal-grinding-wheel-type-27/49-94-0501,PASS,Exact official manufacturer URL verified product identity,PASS,PASS,HIGH,PASS,NONE
52,49-94-0503,"49-94-0503 Milw 4-1/2""x1/4""x7/8"" Metal Grinding Wheel",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Grinding Wheels,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
53,49-94-0523,"49-94-0523 Milw 6""x1/4""x7/8"" Metal Grinding Wheel",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Grinding Wheels,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
54,49-94-1955,"49-94-1955 Milw 4-1/2""x1/4""x7/8"" Masonry Grinding Wheel",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Grinding Wheels,CLASSIFIED,RULE_MATCH,Tier 2,PRODUCT_SPECIFIC_DISTRIBUTOR_URL,https://toolup.com/products/milwaukee-49-94-1955-4-1-2-in-x-1-4-in-x-7-8-in-type-27-masonry-grinding-wheel-for-angle-grinders; https://www.acetool.com/products/49-94-1955,PASS,Exact distributor/catalog URL verified product identity,PASS,PASS,HIGH,PASS,NONE
55,49-94-1965,"49-94-1965 Milw 7""x1/4""x7/8"" Masonry Grinding Wheel",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Grinding Wheels,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
56,49-94-0513,"49-94-0513 Milw 5""x1/4""x7/8"" Metal Grinding Wheel",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Grinding Wheels,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
57,49-94-0533,"49-94-0533 Milw 7""x1/4""x7/8"" Metal Grinding Wheel",Milwaukee Tool,Milwaukee®,Tools & Equipment>Power Tool Accessories>Abrasives>Grinding Wheels,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
58,DFBLBLOMFN01G,DFBLBLOMFN01G Diablo 220 Grit - Flat Edge Sanding Sponge,Freud Inc,Diablo®,Tools & Equipment>Power Tool Accessories>Abrasives>Sanding Sponges,CLASSIFIED,RULE_MATCH,Tier 1,PRODUCT_SPECIFIC_OFFICIAL_URL,https://diablotools.com/products/DFBLBLOMFN01G; https://www.toolnut.com/diablo-dfbblocmfn01g-flat-220-grit-ultra-fine-sanding-sponge.html,PASS,Exact official manufacturer URL verified product identity,PASS,PASS,HIGH,PASS,NONE
59,1700-1PK-BB40,3/4x60' Vinyl Elect Tape,3M Company,3M®,Electrical>Electrical Accessories>Tapes & Adhesives,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
60,ASH-40-40-04,1.5x1.5x13' Legacy Emseal Tape,Emseal Joint Systems Ltd,,Electrical>Electrical Accessories>Tapes & Adhesives,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
61,KDFM404KPS,KDFM404KPS Dishwasher SS,Appliance Dealers Cooperative,,Appliances>Major Appliances>Dishwashers,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
62,PDSH4816AF,PDSH4816AF Dishwasher SS - Display Only,Appliance Dealers Cooperative,,Appliances>Major Appliances>Dishwashers,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
63,PDT715SYVFS,PDT715SYVFS Ge Dishwasher SS,Appliance Dealers Cooperative,,Appliances>Major Appliances>Dishwashers,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
64,LDPH5554D,LDPH5554D LG Dishwasher BSS,Appliance Dealers Cooperative,,Appliances>Major Appliances>Dishwashers,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
65,WDTS7024RZ,WDTS7024RZ Dishwasher SS - Display Only,Appliance Dealers Cooperative,,Appliances>Major Appliances>Dishwashers,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
66,PDD415PYYFS,PDD415PYYFS GE Dishwasher SS,Appliance Dealers Cooperative,,Appliances>Major Appliances>Dishwashers,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
67,KDTS424SBE,KDTS424SBE Kitchen Aid Dishwasher Bk,Appliance Dealers Cooperative,,Appliances>Major Appliances>Dishwashers,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
68,KDTS324SPS,KDTS324SPS Kitchen Aid Dishwasher SS,Appliance Dealers Cooperative,,Appliances>Major Appliances>Dishwashers,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
69,KDPS624SJP,KDPS624SJP Dishwasher Juniper - Display Only,Appliance Dealers Cooperative,,Appliances>Major Appliances>Dishwashers,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
70,KDTS624SBE,KDTS624SBE Dishwasher BO Display Only,Appliance Dealers Cooperative,,Appliances>Major Appliances>Dishwashers,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
71,D519127,D519127 Heater Kit,V & V Appliance Parts Inc,,Appliances>Appliance Parts>Appliance Parts & Accessories,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
72,DF7004WE,DF7004WE Speed Queen Elect Dryer Wh,Appliance Dealers Cooperative,,Appliances>Major Appliances>Clothes Dryers,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
